URL,AllMessagesFlag
https://t.me/configfa,true
https://t.me/configfa,false
https://t.me/s0013_Official,true
https://t.me/s0013_Official,false
https://t.me/PrivateVPNs,true
https://t.me/PrivateVPNs,false
https://t.me/V2RAYROZ,false
https://t.me/V2rayNG_Outlinee,false
https://t.me/sinabigo,false
https://t.me/customv2ray,false
https://t.me/fastkanfig,false
https://t.me/vpnstorefast,false
https://t.me/vpnhat,false
https://t.me/Hope_Net,false
https://t.me/prrofile_purple,false
https://t.me/ELiV2RAY,false
https://t.me/An0nymousTeam,false
https://t.me/oneclickvpnkeys,false
https://t.me/VPN_KING_V2RAY,false
https://t.me/ShadowProxy66,false
https://t.me/proxy_mtm,false
https://t.me/VmessProtocol,false
https://t.me/DirectVPN,false
https://t.me/V2rayCollectorDonate,false
https://t.me/ipV2Ray,false
